Word Order Simple Tenses
Я получил сообщение;I got a message.
Я приготовлю ужин сегодня вечером;I will cook dinner tonight.
Она не поможет без оплаты (payment);She won't help without payment+She will not help without payment.
Мы иногда забываем пароль;We forget the password sometimes.
Они не сохранили чек (keep a receipt);They didn't keep the receipt+They did not keep the receipt.
Они не продали дом;They didn't sell the house+They did not sell the house.
Ты заканчиваешь работу рано?;Do you finish work early?
Мы поели в хорошем ресторане;We ate at a nice restaurant.
Они распознают талант (recognize);They recognize talent.
Ты читаешь журналы?;Do you read magazines?
Он заканчивает домашнее задание до ужина;He finishes homework before dinner.
Ты недостаточно стараешься (try hard);You don't try hard enough+You do not try hard enough.
Мы играли в карты в пятницу;We played cards on Friday.
Они откроют новый филиал? (open a branch);Will they open a new branch?
Мы поняли урок;We understood the lesson.
Она услышала объявление?;Did she hear the announcement?
Мы переехали в новую квартиру;We moved to a new apartment.
Ты приехал на машине?;Did you come by car?
Она верит в упорный труд (hard work);She believes in hard work.
Ты не находишь это смешным;You don't find it funny+You do not find it funny.
Они помнят своё обещание;They remember their promise.
Она приготовила ужин для всех;She cooked dinner for everyone.
Мы предпочитаем небольшие группы (prefer);We prefer small groups.
Он закроет счёт? (close the account);Will he close the account?
Я работаю каждый день;I work every day.
Она слушала радио;She listened to the radio.
Она часто забывает ключи;She forgets her keys often.
Мы встретимся в полдень;We will meet at noon.
Мы не будем плавать в холодной воде;We won't swim in cold water+We will not swim in cold water.
Мы покрасим спальню;We will paint the bedroom.
Мы слишком много съели?;Did we eat too much?
Он не убрал свою комнату;He didn't clean his room+He did not clean his room.
Она не помогает незнакомцам;She doesn't help strangers+She does not help strangers.
Тебе не нужна моя помощь;You don't need my help+You do not need my help.
Он всё понял;He understood everything.
Я не видел аварию;I didn't see the accident+I did not see the accident.
Мы будем сидеть в первом ряду;We will sit in the front row.
Они доставляют вовремя;They deliver on time.
Она даёт уроки онлайн;She gives lessons online.
Он носит ноутбук с собой повсюду;He carries his laptop everywhere.
Он не пользуется социальными сетями (social media);He doesn't use social media+He does not use social media.
Она заправляет постель?;Does she make her bed?
Ты сможешь достаточно сэкономить? (save enough);Will you save enough?
Он убирает свою комнату каждый день;He cleans his room daily.
Он кладёт сливки в кофе?;Does he put cream in coffee?
Они не тратят много денег;They don't spend much money+They do not spend much money.
Я работал допоздна вчера;I worked late yesterday.
Он не оставил чаевые;He didn't leave a tip+He did not leave a tip.
Она пересчитала деньги;She counted the money.
Ты не открываешь двери незнакомцам;You don't open doors for strangers+You do not open doors for strangers.
Они не нашли ключ;They didn't find the key+They did not find the key.
Я не буду готовить сегодня вечером;I won't cook tonight+I will not cook tonight.
Я не плачу картой;I don't pay with card+I do not pay with card.
Я не платил наличными;I didn't pay cash+I did not pay cash.
Она не готовит дома;She doesn't cook at home+She does not cook at home.
Я заканчиваю работу в 5 часов;I finish work at 5 pm.
Они поверили слуху (rumor);They believed the rumor.
Он не моет посуду;He doesn't wash dishes+He does not wash dishes.
Они продали свою машину;They sold their car.
Мы будем плавать каждый день;We will swim every day.
Он не убирает свой стол;He doesn't clean his desk+He does not clean his desk.
Я легко забываю имена;I forget names easily.
Ты не сдаёшься легко (give up);You don't give up easily+You do not give up easily.
Он не оставляет чаевые;He doesn't leave tips+He does not leave tips.
Мы изучаем английский два раза в неделю;We study English twice a week.
Я не откладываю деньги;I don't save money+I do not save money.
Им было весело?;Did they have fun?
Он уходит из офиса в 6 часов;He leaves office at 6 pm.
Я ничего не собирал;I didn't collect anything+I did not collect anything.
Они не носили официальную одежду (formal clothes);They didn't wear formal clothes+They did not wear formal clothes.
Они продают овощи?;Do they sell vegetables?
Мы не закрываемся рано;We don't close early+We do not close early.
Мы решили вчера;We decided yesterday.
Мы храним чеки? (keep receipts);Do we keep the receipts?
Мы встаём достаточно рано?;Do we get up early enough?
Они добьются большего (achieve);They will achieve more.
Ты выбрал меню?;Did you choose the menu?
Я не приношу ноутбук;I don't bring my laptop+I do not bring my laptop.
Я не уничтожил ничего важного (destroy);I didn't destroy anything important+I did not destroy anything important.
Он не ведёт дневник (keep a diary);He doesn't keep a diary+He does not keep a diary.
Мы кладём книги на полку;We put books on the shelf.
Она доверяет своим инстинктам (trust instincts);She trusts her instincts.
Я не хожу в спортзал;I don't go to the gym+I do not go to the gym.
У них не будет достаточно времени;They won't have enough time+They will not have enough time.
Она знает ответ;She knows the answer.
Я не ходил в школу пешком;I didn't walk to school+I did not walk to school.
Мы не много выпили;We didn't drink much+We did not drink much.
Мы правильно понимаем?;Do we understand correctly?
У неё не возникнут проблемы (develop problems);She won't develop problems+She will not develop problems.
Мы всё закончили?;Did we finish everything?
Он скоро примет решение (make a decision);He will make a decision soon.
Она поможет тебе завтра;She will help you tomorrow.
Они не будут держать это в секрете (keep a secret);They won't keep it secret+They will not keep it secret.
Он хорошо разбирается в компьютерах;He understands computers well.
Она не будет сообщать плохие новости (deliver bad news);She won't deliver bad news+She will not deliver bad news.
Им понравилась еда;They liked the food.
Она живёт в Лондоне;She lives in London.
Мы придержали дверь?;Did we hold the door?
Она стояла в очереди?;Did she stand in line?
Я заеду за тобой в 5;I will collect you at 5.
Она выпила слишком много кофе;She drank too much coffee.
Она готовит для себя?;Does she cook for herself?
Мы совсем не переживали;We didn't worry at all+We did not worry at all.
Я тебе верю;I believe you.
Мы преподаём английский онлайн;We teach English online.
Мы заплыли далеко?;Did we swim far?
Они учили тебя?;Did they teach you?
Мы не проводили мероприятие (hold an event);We didn't hold the event+We did not hold the event.
Мы убираем дом по выходным;We clean the house on weekends.
Я владею небольшим магазином (own);I own a small shop.
Они нашли решение? (find a solution);Did they find a solution?
Они будут держать тебя в курсе (keep informed);They will keep you informed.
Они ни с кем не разговаривали;They didn't speak to anyone+They did not speak to anyone.
Мы сидели возле окна;We sat near the window.
Он приносит цветы каждую пятницу;He brings flowers every Friday.
Он покупает кофе каждое утро;He buys coffee every morning.
У них будет время?;Will they have time?
Она помогает по дому?;Does she help at home?
Он сдерживает обещания? (keep promises);Does he keep promises?
Я вернулся прошлой ночью;I came back last night.
Он совершил большую ошибку (make a mistake);He made a big mistake.
Она не встала;She didn't stand up+She did not stand up.
Она часто тебе звонит?;Does she call you often?
Я читаю книги перед сном;I read books before bed.
Она не проводит выходные одна;She doesn't spend weekends alone+She does not spend weekends alone.
Они поговорили с менеджером;They spoke to the manager.
Она предпочтёт другую дату? (prefer);Will she prefer a different date?
Я тебя не забуду;I won't forget you+I will not forget you.
Мы хорошо продвигаемся? (make progress);Do we make good progress?
Мы не будем играть под дождём;We won't play in the rain+We will not play in the rain.
Я завишу от своей семьи (depend on);I depend on my family.
Они будут говорить по-английски?;Will they speak English?
Я скоро вернусь;I will come back soon.
Мы не будем красить кухню;We won't paint the kitchen+We will not paint the kitchen.
Они починят дорогу?;Will they fix the road?
Ей не нужны очки;She doesn't need glasses+She does not need glasses.
Ты меня запомнишь?;Will you remember me?
Они не могут помочь сейчас;They can't help right now+They cannot help right now.
Я не пойду один;I won't go alone+I will not go alone.
Они не будут носить джинсы;They won't wear jeans+They will not wear jeans.
Они научили меня готовить;They taught me how to cook.
Он не читает художественную литературу (fiction);He doesn't read fiction+He does not read fiction.
Мы стараемся изо всех сил?;Do we try our best?
Он помоет окна?;Will he wash the windows?
Ты запомнишь этот разговор?;Will you remember this conversation?
Он выиграет игру?;Will he win the game?
Я выбрал красный;I chose the red one.
Мы не помогли им;We didn't help them+We did not help them.
Она печёт замечательные торты;She makes wonderful cakes.
Ты не часто готовишь;You don't cook often+You do not cook often.
Они никому не скажут;They won't tell anyone+They will not tell anyone.
Она не будет нести слишком много;She won't carry too much+She will not carry too much.
Я провёл выходные дома;I spent the weekend at home.
Я не люблю холодную погоду;I don't like cold weather+I do not like cold weather.
Мы не часто их навещаем (frequently);We don't visit them frequently+We do not visit them frequently.
Мы не завтракали;We didn't eat breakfast+We did not eat breakfast.
Я пойду пешком на работу завтра;I will walk to work tomorrow.
Мы не плавали вчера;We didn't swim yesterday+We did not swim yesterday.
Он не открыл письмо;He didn't open the letter+He did not open the letter.
Она профессионально стрижёт волосы;She cuts hair professionally.
Ты заберёшь детей?;Will you collect the children?
Он чувствует себя счастливым на работе;He feels happy at work.
Она записалась в спортзал (join a gym);She joined a gym.
Они развивают свои навыки (develop skills);They develop their skills.
Она доставит товары (deliver goods);She will deliver the goods.
Они добьются победы? (achieve victory);Will they achieve victory?
Я не буду думать об этом сейчас;I won't think about it now+I will not think about it now.
Им будет нелегко (find it easy);They won't find it easy+They will not find it easy.
Она больше не будет рисовать;She won't draw again+She will not draw again.
Она открывает магазин в 9 утра;She opens the store at 9 am.
Они смотрят телевизор каждый вечер;They watch TV every evening.
Она была в красивом платье;She wore a beautiful dress.
Они починят компьютер;They will fix the computer.
Я мою посуду после ужина;I wash dishes after dinner.
Они режут овощи для ужина;They cut vegetables for dinner.
Он хорошо заработал;He earned good money.
Он не пишет от руки;He doesn't write by hand+He does not write by hand.
Мы всё принесли?;Did we bring everything?
Она не растратит свой талант (waste talent);She won't waste her talent+She will not waste her talent.
Мы не встретимся на этой неделе;We won't meet this week+We will not meet this week.
Она им доверяет?;Does she trust them?
Я не работаю по воскресеньям;I don't work on Sundays+I do not work on Sundays.
Она не дала разрешение (give permission);She didn't give permission+She did not give permission.
Она не звонит во время работы;She doesn't call during work+She does not call during work.
Он не летал в этот раз;He didn't fly this time+He did not fly this time.
Она ничего не купила;She didn't buy anything+She did not buy anything.
Я не буду преподавать завтра;I won't teach tomorrow+I will not teach tomorrow.
У нас будет достаточно оборудования? (own equipment);Will we own enough equipment?
Я пью воду каждый день;I drink water every day.
Он не хочет уходить;He doesn't want to leave+He does not want to leave.
Я выиграл соревнование;I won the competition.
Она не доставила это;She didn't deliver it+She did not deliver it.
Они раскрыли правду (discover the truth);They discovered the truth.
Я больше не буду одалживать (borrow);I won't borrow again+I will not borrow again.
Он преподаёт математику;He teaches math.
Они сохранили секрет;They kept the secret.
Она понесёт торт;She will carry the cake.
Она предпочитает утро? (prefer mornings);Does she prefer mornings?
Он усердно учится?;Does he study hard?
У них будет встреча;They will have a meeting.
Я пригласил всех своих друзей;I invited all my friends.
Они пьют чай по утрам;They drink tea in the morning.
Он собирал марки много лет;He collected stamps for years.
Они выращивают травы? (grow herbs);Do they grow herbs?
Ты скоро уходишь?;Do you leave soon?
Он не заканчивает вовремя;He doesn't finish on time+He does not finish on time.
Ты будешь зависеть от этого? (depend on);Will you depend on this?
Мы выходим из дома в 8 часов;We leave home at 8 o'clock.
Она поехала на работу на автобусе;She took the bus to work.
Она услышит наше сообщение?;Will she hear our message?
Она не предпочтёт этот ресторан;She won't prefer that restaurant+She will not prefer that restaurant.
Я искал повсюду;I looked everywhere.
Она не бежала достаточно быстро;She didn't run fast enough+She did not run fast enough.
Она будет бежать в марафоне (run a marathon);She will run in the marathon.
Они носили маски?;Did they wear masks?
Я выгляжу уставшим?;Do I look tired?
Ты приготовишь для нас?;Will you cook for us?
Он моет машину каждую неделю;He washes his car every week.
Они построят новый офис;They will build a new office.
Она водит красную машину;She drives a red car.
Мы будем играть вместе?;Will we play together?
Ей это кажется трудным? (find it difficult);Does she find it difficult?
Он скоро забудет;He will forget soon.
Он не знал об этом;He didn't know about it+He did not know about it.
Он не играет на пианино;He doesn't play the piano+He does not play the piano.
Он делает фотографии каждый день;He takes photos every day.
Я его не узнаю (recognize);I don't recognize him+I do not recognize him.
Она меня не услышала;She didn't hear me+She did not hear me.
Она не продаёт своё искусство (sell art);She doesn't sell her art+She does not sell her art.
Он поздно встаёт?;Does he get up late?
Они отправляют письма?;Do they send letters?
Мы соответствовали требованиям? (meet requirements);Did we meet the requirements?
Ты не водишь ночью;You don't drive at night+You do not drive at night.
Они продолжают проект (continue);They continue the project.
Мы отправили приглашение?;Did we send the invitation?
Ты не забыл закрыть?;Did you remember to lock up?
Она не возьмёт эту работу;She won't take the job+She will not take the job.
Мы не хотим никаких проблем;We don't want any problems+We do not want any problems.
Я больше не пишу письма;I don't write letters anymore+I do not write letters anymore.
Они покрасили стену?;Did they paint the wall?
Они всё понимают;They understand everything.
Он изучает французский;He studies French.
Они не поверят таким историям;They won't believe such stories+They will not believe such stories.
Мы не приняли условия (accept terms);We didn't accept the terms+We did not accept the terms.
Он знал ответ;He knew the answer.
Она ездит на работу на машине?;Does she drive to work?
Они собирают яблоки с дерева;They pick apples from the tree.
Он получил письмо;He received a letter.
Он не закрывает дверь;He doesn't close the door+He does not close the door.
Она будет быстро развиваться? (develop quickly);Will she develop quickly?
Он получил приз? (earn a prize);Did he earn the prize?
Она не доверяет незнакомцам;She doesn't trust strangers+She does not trust strangers.
Он читает романы?;Does he read novels?
Они туда не ездили;They didn't drive there+They did not drive there.
Я не могу это понять;I can't understand this+I cannot understand this.
Он убрал гараж вчера;He cleaned the garage yesterday.
Ей понравилась новая работа;She loved her new job.
Она понесёт припасы? (carry supplies);Will she carry supplies?
Мы редко простужаемся (catch cold);We don't catch cold often+We do not catch cold often.
Я не езжу на автобусе;I don't take the bus+I do not take the bus.
Она упустила свой шанс (waste a chance);She wasted her chance.
Он работает из дома;He works from home.
Им было очень весело;They had a great time.
Мы не примем поражение (accept failure);We won't accept failure+We will not accept failure.
Они не халтурят (cut corners);They don't cut corners+They do not cut corners.
Ты закрыл магазин?;Did you close the shop?
Он пел на вечеринке;He sang at the party.
Ты пойдёшь со мной пешком?;Will you walk with me?
Я ответил на все вопросы;I answered all the questions.
Они гуляют в парке;They walk to the park.
Он не строил это один;He didn't build this alone+He did not build this alone.
Я одолжил его машину;I borrowed his car.
Они здесь не выросли (grow up);They didn't grow up here+They did not grow up here.
Мы не закончили вовремя;We didn't finish on time+We did not finish on time.
Мы поедим вне дома сегодня вечером;We will eat out tonight.
Ты мне позвонишь?;Will you call me?
Они продают цветы на углу;They sell flowers at the corner.
Он не берёт отпуск;He doesn't take vacations+He does not take vacations.
Они закрываются рано?;Do they close early?
Они выросли поблизости? (grow up);Did they grow up nearby?
Мы будем проводить вечеринку здесь? (hold a party);Will we hold the party here?
Он легко забывает?;Does he forget easily?
Они скоро согласятся;They will agree soon.
Она не ест фастфуд;She doesn't eat fast food+She does not eat fast food.
Он отправляет посылки?;Does he send packages?
Мы не будем сидеть сзади;We won't sit in the back+We will not sit in the back.
Он выиграет гонку;He will win the race.
Они не носят форму;They don't wear uniforms+They do not wear uniforms.
Ты ездишь в школу на машине;You drive to school.
Они не звонят после 10 вечера;They don't call after 10 pm+They do not call after 10 pm.
Мы приехали рано;We arrived early.
Ему нравится его работа?;Does he like his job?
Мы принесём еду?;Will we bring food?
Он не будет копировать никого;He won't copy anyone+He will not copy anyone.
Она не даёт интервью (give interviews);She doesn't give interviews+She does not give interviews.
Они не пьют алкоголь;They don't drink alcohol+They do not drink alcohol.
Она нас не услышит;She won't hear us+She will not hear us.
Она недолго будет грустить;She won't feel sad for long+She will not feel sad for long.
Она не часто встречается с друзьями;She doesn't meet friends often+She does not meet friends often.
Она навестила тётю на прошлой неделе;She visited her aunt last week.
Он строит дома?;Does he build houses?
Мы верим в нашу команду;We believe in our team.
Они предпочитают онлайн-покупки (online shopping);They prefer online shopping.
Я создаю сайты для клиентов (build websites);I build websites for clients.
Я буду зависеть от твоей помощи (depend on);I will depend on your help.
Мы плавали в океане?;Did we swim in the ocean?
Она опишет себя? (describe herself);Will she describe herself?
Мы закрываем магазин в 9 вечера;We close the shop at 9 pm.
Он достигает отличных результатов (achieve results);He achieves great results.
Он не изучает медицину;He doesn't study medicine+He does not study medicine.
Она будет пить меньше кофе;She will drink less coffee.
Он не встаёт до 7 утра;He doesn't get up before 7 am+He does not get up before 7 am.
Я пишу письма на работе;I write emails at work.
Она всё убрала?;Did she put everything away?
Ты пробуешь новые вещи;You try new things.
Она зависит от своего дохода (depend on income);She depends on her income.
Я сравниваю цены перед покупкой;I compare prices before buying.
Ты много потратил?;Did you spend a lot?
Мы правильно сравнили?;Did we compare correctly?
Ты видел письмо?;Did you see the email?
Он приносит обед?;Does he bring lunch?
Им принадлежит компания (own);They own the company.
Мы не будем переживать из-за денег;We won't worry about money+We will not worry about money.
Им нужно больше времени?;Do they need more time?
Мы хотим новую машину;We want a new car.
Он всё скопировал?;Did he copy everything?
Мы не принесли достаточно еды;We didn't bring enough food+We did not bring enough food.
Она несла сумки?;Did she carry the bags?
Он написал письмо;He wrote a letter.
Они встречаются по понедельникам?;Do they meet on Mondays?
Мы слышим музыку из кафе;We hear music from the cafe.
Ты одолжишь мне куртку?;Will you borrow my jacket?
Он успел на последний поезд;He caught the last train.
Он открыл подарок?;Did he open the gift?
Мы будем сравнивать цены?;Will we compare prices?
Я буду преподавать в следующем семестре;I will teach next semester.
Он помнит мой день рождения;He remembers my birthday.
Она предпочтёт новый дизайн (prefer);She will prefer the new design.
Она не открывает посылки;She doesn't open packages+She does not open packages.
Он заслужит уважение (earn respect);He will earn respect.
Он не забудет этот урок;He won't forget this lesson+He will not forget this lesson.
Они приехали сюда на машине?;Did they drive here?
Он скопирует домашнее задание?;Will he copy the homework?
Ты преподавал там раньше?;Did you teach there before?
Он не закроет магазин рано;He won't close the store early+He will not close the store early.
Они продолжат поиски? (continue the search);Will they continue the search?
Она не смотрит телевизор;She doesn't watch TV+She does not watch TV.
Они добиваются успеха (achieve success);They achieve success.
Летом здесь не идёт дождь;It doesn't rain in summer+It does not rain in summer.
Она не предпочла этот вариант;She didn't prefer that option+She did not prefer that option.
Она разработала план? (develop a plan);Did she develop a plan?
Ты помнишь адрес?;Do you remember the address?
Они не смотрят фильмы ужасов;They don't watch horror movies+They do not watch horror movies.
Хочешь чаю?;Do you want some tea?
Они выращивают цветы;They grow flowers.
Они не едят мясо;They don't eat meat+They do not eat meat.
Она не последовала моему совету;She didn't take my advice+She did not take my advice.
Он не приготовил ужин;He didn't make dinner+He did not make dinner.
Ты узнаёшь это место? (recognize);Do you recognize this place?
Она не купит эту машину;She won't buy that car+She will not buy that car.
Я преподавал пять лет;I taught for five years.
Мы не можем найти ключи;We can't find the keys+We cannot find the keys.
Они не ходят на работу пешком;They don't walk to work+They do not walk to work.
Он играет в теннис каждое воскресенье;He plays tennis every Sunday.
Она не живёт одна;She doesn't live alone+She does not live alone.
Они не смотрели матч;They didn't watch the match+They did not watch the match.
Я не занимал деньги;I didn't borrow money+I did not borrow money.
У тебя есть вопросы?;Do you have any questions?
Они построят школу?;Will they build a school?
Они поверят доказательствам (believe the evidence);They will believe the evidence.
Мы плаваем достаточно быстро?;Do we swim fast enough?
Я езжу на работу на автобусе;I go to work by bus.
Мы не поняли почему;We didn't understand why+We did not understand why.
Ты отправляешь сообщения каждый день;You send messages every day.
Мы не отправили посылку;We didn't send the package+We did not send the package.
Она будет бегать сегодня?;Will she run today?
Он играет на гитаре?;Does he play guitar?
Они посмотрели фильм прошлой ночью;They watched a movie last night.
Она не тратит время зря;She doesn't waste time+She does not waste time.
Она не навестит нас завтра;She won't visit us tomorrow+She will not visit us tomorrow.
Они будут смотреть шоу?;Will they watch the show?
У нас нет машины;We don't own a car+We do not own a car.
Она будет пить воду?;Will she drink water?
Она смотрит новости?;Does she watch the news?
Я не буду выбирать быстро;I won't choose quickly+I will not choose quickly.
Он думает внимательно?;Does he think carefully?
Он не починил машину;He didn't fix the car+He did not fix the car.
Он не работает по выходным;He doesn't work on weekends+He does not work on weekends.
Они договорились о цене (agree on the price);They agreed on the price.
Ты увидишь их завтра?;Will you see them tomorrow?
Он построит ещё один дом?;Will he build another house?
Я прочитаю книгу на следующей неделе;I will read the book next week.
Она будет доверять новому менеджеру? (trust);Will she trust the new manager?
Они сказали правду?;Did they tell the truth?
Я так не думаю;I don't think so+I do not think so.
Они не выбирают неправильный вариант;They don't pick the wrong option+They do not pick the wrong option.
Я предпочитаю кофе чаю;I prefer coffee to tea.
Она доставит вовремя?;Will she deliver on time?
Он не делает мебель;He doesn't build furniture+He does not build furniture.
Он успеет на автобус?;Will he catch the bus?
Они всё подготовили;They prepared everything.
Они смотрели игру?;Did they watch the game?
Я заполнил форму;I completed the form.
Она не платит наличными;She doesn't pay in cash+She does not pay in cash.
Они не часто совершают ошибки;They don't make mistakes often+They do not make mistakes often.
Они будут в костюмах;They will wear suits.
Они не будут строить здесь;They won't build here+They will not build here.
Я не стираю вручную;I don't wash clothes by hand+I do not wash clothes by hand.
Они продолжат завтра;They will continue tomorrow.
Он не думает об этом;He doesn't think about it+He does not think about it.
Он не успеет на тот рейс;He won't catch that flight+He will not catch that flight.
Он заканчивает вовремя?;Does he finish on time?
Он стирает одежду?;Does he wash clothes?
Я не работал вчера;I didn't work yesterday+I did not work yesterday.
Мы не уходим рано;We don't leave early+We do not leave early.
Он не приносит еду на работу;He doesn't bring food to work+He does not bring food to work.
Мы хорошо играем?;Do we play well?
Они построили это неправильно;They didn't build it correctly+They did not build it correctly.
Ты забираешь детей?;Do you pick your children up?
Я не ходил на вечеринку;I didn't go to the party+I did not go to the party.
Мы примем изменения? (accept changes);Will we accept the changes?
Ты регулярно откладываешь деньги? (save regularly);Do you save regularly?
Она принимает предложение;She accepts the offer.
Ты сохранил файл?;Did you save the file?
Мы поймём инструкцию? (manual);Will we understand the manual?
Ты не встречаешься с незнакомцами;You don't meet strangers+You do not meet strangers.
Мы поедим перед фильмом?;Will we eat before the movie?
Мы не играли в воскресенье;We didn't play on Sunday+We did not play on Sunday.
Он получил повышение (earn a promotion);He earned a promotion.
Я сразу её узнал (recognize);I recognized her immediately.
Я не помню дату;I don't remember the date+I do not remember the date.
Они не достигли своей цели (achieve a target);They didn't achieve their target+They did not achieve their target.
Ты ходишь в школу пешком?;Do you walk to school?
Она поедет на поезде?;Will she take the train?
Ты собрал все документы?;Did you collect all the papers?
У нас есть какие-нибудь акции? (own shares);Do we own any shares?
Она не доверяла его словам;She didn't trust his words+She did not trust his words.
Он ответил на твой вопрос?;Did he answer your question?
Он будет убирать завтра?;Will he clean tomorrow?
Он не будет зарабатывать меньше;He won't earn less+He will not earn less.
Ты учишь детей?;Do you teach children?
Она положила книгу на стол;She put the book on the table.
Мы описываем продукт;We describe the product.
Он похудел? (lose weight);Did he lose weight?
Он пишет отчёты?;Does he write reports?
Он не выглядел удивлённым (appear surprised);He didn't appear surprised+He did not appear surprised.
Она ничего не нарисовала;She didn't draw anything+She did not draw anything.
Ей стало лучше?;Did she feel better?
Я не читаю газеты;I don't read newspapers+I do not read newspapers.
Она понимает немецкий;She understands German.
Они приносят подарки?;Do they bring gifts?
Он не будет строить без разрешения;He won't build without permission+He will not build without permission.
Мы не будем брать детей;We won't bring children+We will not bring children.
Она не может прийти завтра;She can't come tomorrow+She cannot come tomorrow.
Они построили новый дом;They built a new house.
Я не буду зависеть от других (depend on others);I won't depend on others+I will not depend on others.
Когда-нибудь мы будем владеть своим домом;We will own our home someday.
Ты находишь это интересным?;Do you find it interesting?
Я сэкономил достаточно денег;I saved enough money.
Она не может водить ночью;She can't drive at night+She cannot drive at night.
Мы разговаривали два часа;We talked for two hours.
Они скажут правду?;Will they tell the truth?
Я не закрыл окно;I didn't close the window+I did not close the window.
Они согласятся с нами?;Will they agree with us?
Он забывает перезвонить (call back);He forgets to call back.
Они нашли хороший отель;They found a good hotel.
У неё есть машина?;Does she have a car?
Он мало зарабатывает;He doesn't earn much+He does not earn much.
Мы закончим вовремя?;Will we finish on time?
Мы будем красить в эти выходные?;Will we paint this weekend?
Она тратит много?;Does she spend a lot?
Она нарисовала картину;She drew a picture.
Он потерял кошелёк;He lost his wallet.
Ты берёшь сахар?;Do you take sugar?
Они продолжили после обеда?;Did they continue after lunch?
Он заработал недостаточно;He didn't earn enough+He did not earn enough.
Мы достаточно помогли?;Did we help enough?
Мы тренировались каждый день;We practiced every day.
Ты забыл пароль?;Did you forget the password?
Он приготовит завтрак?;Will he make breakfast?
Мы разрабатываем новое программное обеспечение (develop software);We develop new software.
Они многого не добьются;They won't achieve much+They will not achieve much.
Я принимаю твои извинения;I accept your apology.
Он не выиграет в этот раз;He won't win this time+He will not win this time.
Я буду откладывать больше денег;I will save more money.
Они мне не поверили;They didn't believe me+They did not believe me.
Ты вернёшься?;Will you come back?
Она со временем будет тебе доверять;She will trust you eventually.
Ей скоро станет лучше;She will feel better soon.
Мы сравним результаты;We will compare results.
Мы не закончим сегодня;We won't finish today+We will not finish today.
Я провалил тест (fail a test);I failed the test.
Он держит свои обещания (keep promises);He keeps his promises.
Они косят траву?;Do they cut the grass?
Они доверяют процессу (trust the process);They trust the process.
Он не ходит плавать;He doesn't go swimming+He does not go swimming.
Он уберёт свою комнату сегодня вечером;He will clean his room tonight.
Я оплачиваю счета онлайн;I pay bills online.
Я увижу тебя позже;I will see you later.
Она не ходит одна ночью;She doesn't walk alone at night+She does not walk alone at night.
Он будет знать, что делать?;Will he know what to do?
Ты будешь снова преподавать?;Will you teach again?
Мы будем меньше переживать;We will worry less.
Мы будем лучше понимать;We will understand better.
Он продолжает улучшаться (continue to improve);He continues to improve.
Они не верят этой истории;They don't believe the story+They do not believe the story.
Он закрывает окна ночью;He closes windows at night.
Они отвезут нас туда;They will drive us there.
Мы достаточно даём?;Do we give enough?
Мы не плаваем зимой;We don't swim in winter+We do not swim in winter.
Он не будет убирать сегодня;He won't clean today+He will not clean today.
Я понимаю твою проблему;I understand your problem.
Ты работал допоздна?;Did you work late?
Они выступят на конференции (speak at a conference);They will speak at the conference.
Они тоже будут выращивать овощи?;Will they grow vegetables too?
Мы достаточно учимся?;Do we study enough?
Мы плавали в озере;We swam in the lake.
Он благополучно сбежал (escape safely);He escaped safely.
Мы случайно разбили вазу;We broke the vase by accident.
Она тратит еду впустую? (waste food);Does she waste food?
Они станут сильнее;They will grow stronger.
Ты ездишь на работу на машине?;Do you drive to work?
Мне нравится кофе;I like coffee.
Они согласны с нами?;Do they agree with us?
Мы получим места?;Will we get seats?
Он не будет отвечать на поздние звонки;He won't answer late calls+He will not answer late calls.
Мы не будем пить сегодня;We won't drink tonight+We will not drink tonight.
Они не выращивают овощи;They don't grow vegetables+They do not grow vegetables.
Она даст тебе ответ;She will give you the answer.
Я узнаю этот голос (recognize a voice);I recognize that voice.
Они преподают музыку в школе;They teach music at school.
Она пробует разные рецепты;She tries different recipes.
Он ничего не забыл;He didn't forget anything+He did not forget anything.
Мы признаём твои усилия (recognize efforts);We recognize your efforts.
Они не будут смотреть этот фильм;They won't watch that movie+They will not watch that movie.
Она не перезвонила;She didn't call back+She did not call back.
Мы выпили слишком много кофе?;Did we drink too much coffee?
Я думаю о своей семье;I think about my family.
Я приношу обед на работу;I bring lunch to work.
Он построил собственный бизнес (build a business);He built his own business.
Он выглядел спокойным?;Did he appear calm?
Ты здесь работаешь?;Do you work here?
Мы не храним секреты;We don't keep secrets+We do not keep secrets.
Они звонят нам каждую неделю;They call us every week.
Ты узнаешь эту улицу?;Will you recognize the street?
Ты пользуешься этим компьютером?;Do you use this computer?
Он написал отчёт?;Did he write the report?
У нас было небольшое кафе;We owned a small cafe.
Они поехали на пляж;They drove to the beach.
Она продаёт онлайн?;Does she sell online?
У них не было достаточно времени;They didn't have enough time+They did not have enough time.
Он не может закончить сегодня;He can't finish today+He cannot finish today.
Она стояла в очереди час;She stood in line for an hour.
Мы не доберёмся вовремя;We won't get there on time+We will not get there on time.
Они построили этот дом?;Did they build this house?
Они здесь не продают еду;They don't sell food here+They do not sell food here.
Она смотрит фильмы по выходным;She watches movies on weekends.
Она приготовила обед?;Did she cook lunch?
Мы снова встретимся?;Will we meet again?
Я не заканчиваю поздно;I don't finish late+I do not finish late.
Она плохо это описала (describe);She didn't describe it well+She did not describe it well.
Я позвоню тебе завтра;I will call you tomorrow.
Они в итоге согласились?;Did they agree finally?
Мы не будем сравнивать себя;We won't compare ourselves+We will not compare ourselves.
